emp_no,first_name,last_name,title,dept_no,dept_name
10734,Sachar,Erdi,Engineer,d004,Production
10745,Poorav,Ranze,Senior Engineer,d004,Production
10749,King,Brendel,Senior Engineer,d004,Production
10767,Monique,Doering,Staff,d007,Sales
10768,Ishfaq,Candan,Senior Engineer,d004,Production
10778,Selwyn,Merey,Senior Staff,d001,Marketing
10791,Tadahiko,Sgarro,Senior Engineer,d005,Development
10795,Supot,Naudin,Senior Staff,d007,Sales
10808,Chenxi,Leijenhorst,Senior Engineer,d005,Development
10835,Tomoyuki,Kermarrec,Engineer,d004,Production
10836,Jianhua,Leivant,Senior Staff,d009,Customer Service
10844,Dipayan,Koprowski,Engineer,d005,Development
10847,Theirry,Danley,Senior Staff,d008,Research
10848,Fen,Bratsberg,Senior Engineer,d004,Production
10878,Lakshmi,Deville,Staff,d007,Sales
10879,Muzhong,Chleq,Senior Engineer,d005,Development
10883,Shimshon,Champarnaud,Engineer,d004,Production
10909,Georgi,Atchley,Senior Engineer,d005,Development
10921,Mara,Bahi,Senior Engineer,d004,Production
10924,Hironoby,Atchley,Senior Staff,d007,Sales
10927,Gal,Scallan,Senior Staff,d001,Marketing
10936,Mountaz,Schicker,Senior Staff,d003,Human Resources
10943,Berna,Skafidas,Senior Engineer,d005,Development
10965,Eckart,Braunschweig,Senior Staff,d007,Sales
10969,Premal,Noriega,Senior Engineer,d005,Development
10974,Muneo,Papsdorf,Senior Engineer,d005,Development
10986,Masako,Schiper,Technique Leader,d005,Development
10988,Chinya,Deyuan,Senior Engineer,d005,Development
10989,Sumali,Candan,Senior Staff,d002,Finance
10990,Shin,Foote,Technique Leader,d005,Development
11009,Alper,Axelband,Senior Staff,d007,Sales
11012,Taegyun,Speckmann,Staff,d009,Customer Service
11019,Leon,Huttel,Senior Engineer,d005,Development
11021,Srinidhi,Henders,Staff,d008,Research
11027,Remzi,Cappello,Senior Engineer,d004,Production
11031,Ottavia,Walstra,Senior Staff,d001,Marketing
11037,Lansing,Maliniak,Senior Engineer,d004,Production
11038,Jinya,Beidas,Senior Staff,d008,Research
11042,Gou,Breugel,Senior Engineer,d005,Development
11048,Jaques,Demke,Senior Staff,d007,Sales
11050,Elvis,Katiyar,Senior Staff,d001,Marketing
11051,Przemyslawa,Erol,Senior Engineer,d004,Production
11070,Adib,Raney,Senior Engineer,d006,Quality Management
11081,Barry,Boyle,Senior Staff,d002,Finance
11085,Hailing,Thummel,Senior Engineer,d004,Production
11100,Berna,Cochrane,Senior Staff,d008,Research
11106,Aris,Iwayama,Senior Engineer,d005,Development
11112,Boaz,Mukaidono,Staff,d009,Customer Service
11113,Shahab,Peng,Senior Staff,d001,Marketing
11121,Vugranam,Kakkad,Senior Engineer,d005,Development
11133,Nalini,Azulay,Technique Leader,d006,Quality Management
11134,Sachar,Rajcani,Senior Engineer,d006,Quality Management
11137,Hugh,Luca,Engineer,d005,Development
11139,Bogdan,Homond,Senior Staff,d009,Customer Service
11146,Ishfaq,Masand,Senior Staff,d007,Sales
11148,Zhanqiu,Botman,Senior Staff,d003,Human Resources
11162,Kauko,Narlikar,Senior Engineer,d005,Development
11180,Mitsuyuki,Bojadziev,Senior Engineer,d005,Development
11197,Tadahiro,Fordan,Senior Staff,d007,Sales
11204,Diederik,Covnot,Technique Leader,d004,Production
11207,Saeed,Gips,Engineer,d005,Development
11208,Saniya,Valtorta,Technique Leader,d004,Production
11211,Yurij,Rissland,Senior Engineer,d004,Production
11217,Kellie,Mawatari,Senior Engineer,d004,Production
11232,Hidefumi,Crelier,Senior Staff,d009,Customer Service
11240,Kiam,Condotta,Engineer,d005,Development
11249,Randi,Cyre,Engineer,d005,Development
11251,Bezalel,Chinal,Senior Staff,d001,Marketing
11268,Aimee,Petersohn,Senior Engineer,d004,Production
11275,Hitomi,Eppinger,Senior Engineer,d005,Development
11290,Visit,Dredge,Engineer,d005,Development
11295,Abdelkader,Lanzelotte,Senior Staff,d002,Finance
11319,Pranas,Marrakchi,Assistant Engineer,d005,Development
11320,Atilio,McAlpine,Senior Staff,d001,Marketing
11322,Nathalie,Pocchiola,Senior Engineer,d006,Quality Management
11324,Kauko,Billingsley,Senior Engineer,d004,Production
11338,Kwangsub,Hanratty,Senior Staff,d007,Sales
11339,Flemming,Massonet,Senior Engineer,d004,Production
11347,Anneli,Jonsson,Senior Engineer,d005,Development
11365,Toshimi,Shinomoto,Engineer,d004,Production
11376,Valery,Suomi,Senior Staff,d008,Research
11380,Kenroku,Pelc,Senior Engineer,d005,Development
11385,Shiv,Ullian,Engineer,d004,Production
11386,Alselm,Assaf,Senior Engineer,d006,Quality Management
11393,Junsik,Junot,Senior Engineer,d004,Production
11398,Oscar,Peir,Senior Staff,d002,Finance
11404,Bedrich,Borovoy,Technique Leader,d005,Development
11415,Sanjiv,Anido,Engineer,d004,Production
11421,Josyula,Msuda,Senior Engineer,d004,Production
11441,Marlo,Aingworth,Senior Staff,d007,Sales
11449,Kotesh,Asser,Senior Engineer,d004,Production
11459,Duke,Suomi,Senior Staff,d003,Human Resources
11469,Guttorm,Giaccio,Senior Engineer,d004,Production
11506,Rance,Picel,Staff,d007,Sales
11509,Aleksander,Feldhoffer,Senior Engineer,d005,Development
11513,Otmar,Mahnke,Senior Staff,d002,Finance
11515,Ulf,Basawa,Staff,d007,Sales
11518,Jinxi,Oxman,Senior Staff,d003,Human Resources
11524,Xiadong,Standera,Senior Engineer,d005,Development
11527,Alagu,Boyle,Staff,d001,Marketing
11528,Zito,Dolinsky,Technique Leader,d004,Production
11537,DAIDA,Pehl,Senior Staff,d007,Sales
11554,Subhash,Taubenfeld,Staff,d001,Marketing
11555,Kotesh,Perfilyeva,Senior Staff,d003,Human Resources
11567,Teiji,Mitzlaff,Senior Staff,d007,Sales
11568,Martins,Fujisaki,Senior Engineer,d005,Development
11603,Herb,Swen,Senior Staff,d002,Finance
11607,Tomokazu,Foong,Engineer,d004,Production
11615,Shem,Isaak,Senior Staff,d007,Sales
11624,Adil,Gammage,Senior Engineer,d004,Production
11628,Fan,Malinowski,Senior Engineer,d008,Research
11640,Valeri,Coorg,Senior Engineer,d005,Development
11647,Magy,Nitsche,Senior Engineer,d005,Development
11660,Gill,Stenning,Senior Staff,d007,Sales
11673,Henk,Felder,Technique Leader,d004,Production
11676,Valeri,Ferriere,Engineer,d004,Production
11681,Fumitake,Benzmuller,Senior Engineer,d004,Production
11684,Oksana,Gide,Senior Staff,d001,Marketing
11696,Dante,Rothe,Senior Staff,d007,Sales
11732,Sanjoy,Ranft,Senior Engineer,d009,Customer Service
11735,Amalendu,Picci,Senior Staff,d009,Customer Service
11746,Koichi,Marrakchi,Senior Staff,d007,Sales
11751,Jiafu,Emiris,Senior Staff,d008,Research
11764,Sanjay,Anick,Senior Engineer,d004,Production
11769,Chandrasekaran,Lampe,Senior Staff,d005,Development
11772,Gaurav,Penz,Engineer,d005,Development
11797,Chenxi,Thambidurai,Senior Staff,d001,Marketing
11810,Amabile,Bhattacharjee,Senior Engineer,d005,Development
11817,Niranjan,Markovitch,Senior Staff,d007,Sales
11832,Arto,Zlotek,Engineer,d005,Development
11844,Shawna,Demeyer,Senior Engineer,d005,Development
11853,Zeljko,Kusakabe,Senior Staff,d001,Marketing
11857,Divier,Farrag,Senior Staff,d007,Sales
11864,Pradeep,Kriebel,Staff,d009,Customer Service
11871,Nalini,Sommen,Senior Engineer,d005,Development
11872,Cheong,Riexinger,Senior Staff,d001,Marketing
11894,Mitchel,Validov,Senior Engineer,d005,Development
11897,Cordelia,Setlzner,Senior Staff,d007,Sales
11906,Hideo,Boguraev,Engineer,d005,Development
11915,Miomir,Mawatari,Senior Engineer,d004,Production
11931,Gunilla,Chiodo,Senior Staff,d008,Research
11933,Basil,Erman,Senior Engineer,d005,Development
11949,Martijn,Harbusch,Technique Leader,d004,Production
11983,Jaana,Hedayat,Senior Engineer,d005,Development
11993,Marit,Dalphin,Senior Staff,d003,Human Resources
12011,Zhilian,Coorg,Senior Staff,d007,Sales
12036,Mads,Ratzlaff,Senior Staff,d007,Sales
12037,Arunas,Katzenelson,Senior Staff,d009,Customer Service
12050,Yuchang,Tchuente,Engineer,d004,Production
12062,Margareta,Worfolk,Senior Staff,d003,Human Resources
12069,Ayonca,Burnard,Senior Engineer,d005,Development
12070,Ger,Shokrollahi,Technique Leader,d005,Development
12076,Karlis,Siprelle,Senior Staff,d007,Sales
12082,Xinan,Yamaashi,Senior Staff,d007,Sales
12089,Bilhanan,Socorro,Senior Staff,d003,Human Resources
12099,Nobuyoshi,Kuzuoka,Senior Staff,d007,Sales
12112,Satyanarayana,Avouris,Senior Staff,d002,Finance
12122,Satoru,Krone,Senior Engineer,d004,Production
12123,Xiahua,Syrzycki,Senior Staff,d008,Research
12125,Shounak,Erman,Engineer,d004,Production
12149,Suebskul,Grandbois,Senior Staff,d007,Sales
12159,Shem,Perly,Senior Engineer,d005,Development
12165,Xiaobin,Maquelin,Senior Engineer,d005,Development
12183,Harngdar,Iisaku,Engineer,d006,Quality Management
12192,Feiyu,Klyachko,Senior Engineer,d006,Quality Management
12205,Sushant,Rossi,Senior Engineer,d005,Development
12206,Barton,Janetzko,Senior Engineer,d005,Development
12218,Yaghout,Strooper,Senior Engineer,d006,Quality Management
12221,Vincent,Melter,Senior Engineer,d005,Development
12222,Abdelwaheb,Holburn,Senior Staff,d002,Finance
12223,Niteen,Koyama,Senior Engineer,d004,Production
12247,Subbu,Penttonen,Technique Leader,d005,Development
12249,Eldridge,Sadowski,Senior Engineer,d005,Development
12256,Guadalupe,Reghbati,Senior Staff,d003,Human Resources
12264,Mart,Pagter,Engineer,d005,Development
12270,Shakhar,Kornyak,Senior Staff,d008,Research
12272,Behnaam,Grandbois,Senior Staff,d003,Human Resources
12308,Mototsugu,Cronau,Senior Staff,d003,Human Resources
12311,Susanne,Lubachevsky,Senior Engineer,d005,Development
12327,DAIDA,Bruckman,Senior Engineer,d005,Development
12341,Rasiah,Luga,Senior Engineer,d005,Development
12343,Sorina,Slaats,Senior Staff,d004,Production
12365,Kamakshi,Bisiani,Senior Engineer,d004,Production
12373,Mooi,Driscoll,Senior Staff,d007,Sales
12395,Sanjit,Felder,Senior Staff,d002,Finance
12399,Mihalis,Luga,Senior Staff,d007,Sales
12411,Shao,Ibel,Senior Staff,d007,Sales
12413,Hugh,Gadepally,Senior Engineer,d004,Production
12417,Dannz,Spelt,Senior Engineer,d004,Production
12422,Berhard,Demos,Senior Staff,d003,Human Resources
12454,Kerryn,Farris,Staff,d007,Sales
12464,Shai,Milicic,Staff,d007,Sales
12475,Filipe,Roison,Senior Engineer,d005,Development
12487,Mona,Reghbati,Senior Staff,d002,Finance
12489,Arnould,Munck,Senior Engineer,d005,Development
12490,Jackson,Muchinsky,Senior Engineer,d005,Development
12497,Stein,Penz,Senior Staff,d007,Sales
12501,Morrie,Matheson,Senior Staff,d002,Finance
12504,Adly,Rosaz,Engineer,d004,Production
12514,Tomofumi,Melter,Engineer,d005,Development
12528,Conor,Cincotta,Senior Staff,d009,Customer Service
12534,Yongmao,Gerlach,Senior Engineer,d004,Production
12541,Shih,Nanard,Senior Staff,d007,Sales
12542,Kazuhide,Bouloucos,Senior Staff,d003,Human Resources
12551,Jeane,Tzvieli,Senior Engineer,d004,Production
12553,Aral,Vesna,Senior Staff,d003,Human Resources
12557,Stafford,Kopetz,Senior Engineer,d004,Production
12589,Anoosh,Chleq,Senior Engineer,d005,Development
12596,Breannda,Roisin,Senior Staff,d003,Human Resources
12601,Ghassan,Simkin,Senior Engineer,d005,Development
12608,Nectarios,Mondadori,Senior Staff,d003,Human Resources
12635,Xinyu,Restivo,Senior Engineer,d009,Customer Service
12638,Yuqun,Seiwald,Engineer,d005,Development
12642,Suebskul,Gips,Senior Staff,d001,Marketing
12651,Pragnesh,Bael,Senior Staff,d007,Sales
12662,Leucio,Alvarado,Engineer,d005,Development
12663,Nobuyoshi,Stellhorn,Technique Leader,d005,Development
12664,Zhonghua,Parveen,Staff,d009,Customer Service
12689,Luerbio,Boudaillier,Senior Engineer,d005,Development
12691,Oddvar,Gils,Senior Engineer,d004,Production
12697,Uri,Brizzi,Senior Staff,d003,Human Resources
12709,Ronghao,Botman,Senior Engineer,d005,Development
12717,Tzu,Jiafu,Staff,d008,Research
12722,Elliott,Cheshire,Senior Staff,d002,Finance
12726,Fumitake,Panwar,Senior Engineer,d005,Development
12729,Nahla,Rahier,Senior Engineer,d009,Customer Service
12731,Yongmao,Waymire,Senior Staff,d003,Human Resources
12732,Mara,Takanami,Senior Staff,d007,Sales
12734,Gil,Frijda,Senior Engineer,d005,Development
12755,Rildo,Rodite,Senior Staff,d003,Human Resources
12773,Jenwei,Lovengreen,Senior Engineer,d005,Development
12790,Gunilla,Perl,Senior Staff,d007,Sales
12795,Masoud,Fordan,Senior Staff,d002,Finance
12798,Lillian,Beeson,Senior Staff,d007,Sales
12803,Gad,Boissier,Senior Staff,d001,Marketing
12815,Sushant,Junot,Senior Staff,d008,Research
12819,Mountaz,Gubsky,Senior Engineer,d004,Production
12848,Kazuhide,Smeets,Engineer,d005,Development
12863,Leif,Matheson,Senior Engineer,d004,Production
12872,Marl,Schmittgen,Senior Staff,d007,Sales
12879,Baruch,Eugenio,Senior Engineer,d005,Development
12890,Neven,Casley,Senior Staff,d007,Sales
12893,Licheng,Crouzet,Senior Staff,d007,Sales
12895,Roddy,Serot,Senior Engineer,d004,Production
12905,Munehiro,Gecsei,Senior Engineer,d005,Development
12926,Heekeun,Luby,Senior Staff,d008,Research
12940,Odinaldo,Farrar,Senior Engineer,d005,Development
12941,Tommaso,Perelgut,Senior Engineer,d005,Development
12949,Geoff,Asrin,Senior Engineer,d005,Development
12977,Byong,Markovitch,Senior Engineer,d005,Development
12983,Elliott,Hambrick,Staff,d002,Finance
13030,Yahiko,Kroll,Senior Staff,d001,Marketing
13046,Vivian,Stafford,Senior Staff,d002,Finance
13047,Atilio,Chelton,Senior Engineer,d005,Development
13075,Rosella,Morrin,Senior Staff,d001,Marketing
13076,Deniz,Skafidas,Engineer,d005,Development
13096,Ibibia,Armand,Senior Engineer,d006,Quality Management
13103,Srinidhi,Ellozy,Senior Engineer,d005,Development
13124,Quingbo,Garnick,Senior Staff,d007,Sales
13133,Guther,Senzako,Senior Staff,d009,Customer Service
13134,Lorien,Chepyzhov,Senior Engineer,d004,Production
13144,Persi,Nollmann,Senior Staff,d002,Finance
13146,Haldon,Erie,Senior Staff,d007,Sales
13147,Shichao,Ginesta,Senior Staff,d007,Sales
13156,Akeel,Millington,Senior Engineer,d005,Development
13165,Lucian,Benner,Senior Engineer,d006,Quality Management
13168,Munir,Stentiford,Senior Engineer,d004,Production
13170,Cheong,Bernardeschi,Senior Staff,d003,Human Resources
13171,Anoosh,Birnbaum,Senior Engineer,d006,Quality Management
13173,Arve,Horswill,Senior Staff,d007,Sales
13179,Moty,Janocha,Staff,d007,Sales
13182,Kokou,Rodite,Engineer,d004,Production
13186,Kyoichi,Barbanera,Senior Staff,d007,Sales
13192,Rosita,Flowers,Technique Leader,d004,Production
13202,Aram,Scharstein,Senior Staff,d008,Research
13210,Jianhua,Klassen,Senior Staff,d001,Marketing
13213,Hein,Billawala,Senior Staff,d007,Sales
13232,Mitchel,Fujisaki,Technique Leader,d005,Development
13233,Alselm,Chvatal,Senior Engineer,d005,Development
13238,Ebru,Foote,Senior Staff,d007,Sales
13240,King,Pileggi,Senior Engineer,d005,Development
13250,Zeydy,Schusler,Senior Engineer,d004,Production
13272,Arun,Jiang,Senior Staff,d009,Customer Service
13276,Yechiam,Seuren,Senior Staff,d002,Finance
13288,Muneo,Broomell,Senior Staff,d003,Human Resources
13291,Georg,Stamatiou,Senior Engineer,d005,Development
13302,Mack,Alencar,Senior Engineer,d005,Development
13315,Sakthirel,Stroustrup,Senior Engineer,d005,Development
13332,Nidapan,Pearson,Senior Engineer,d004,Production
13333,Yoshinari,Hennebert,Engineer,d004,Production
13341,Bodh,Doering,Senior Staff,d001,Marketing
13343,Heon,Usery,Senior Staff,d002,Finance
13368,Kiyokazu,Klassen,Staff,d003,Human Resources
13371,Nakhoon,Riexinger,Senior Engineer,d004,Production
13373,Juichirou,Naumovich,Senior Staff,d003,Human Resources
13385,Claudi,Buchter,Senior Staff,d003,Human Resources
13386,Khosrow,Sgarro,Technique Leader,d005,Development
13389,Divine,Cmelik,Senior Staff,d008,Research
13392,Fumitake,Beidas,Senior Staff,d007,Sales
13396,Chuanyi,Aumann,Senior Staff,d009,Customer Service
13402,Augustine,Dulli,Engineer,d008,Research
13405,Randy,Baba,Senior Staff,d007,Sales
13407,Gio,Chenoweth,Senior Engineer,d004,Production
13408,Sreekrishna,Lagarias,Senior Engineer,d004,Production
13415,Nathalie,Speer,Technique Leader,d006,Quality Management
13422,Vishwani,Gerlach,Senior Engineer,d006,Quality Management
13442,Giordano,Miake,Senior Staff,d003,Human Resources
13443,Mayuko,Puppo,Senior Engineer,d006,Quality Management
13445,Renee,Dehkordi,Engineer,d004,Production
13451,Gretta,Weiland,Senior Staff,d003,Human Resources
13457,Shooichi,Parfitt,Senior Engineer,d006,Quality Management
13458,Feipei,Nivat,Senior Engineer,d009,Customer Service
13463,Theron,Berstel,Senior Engineer,d004,Production
13465,Sasan,Rehfuss,Engineer,d004,Production
13493,Uinam,Jullig,Senior Engineer,d005,Development
13504,Parto,Mandell,Engineer,d005,Development
13524,Chaoyi,Porotnikoff,Senior Staff,d007,Sales
13535,Arunas,Schlenzig,Senior Engineer,d004,Production
13546,Aimee,Brookner,Senior Engineer,d004,Production
13549,Matk,Koprowski,Technique Leader,d005,Development
13552,Ingmar,Capobianchi,Senior Staff,d008,Research
13576,Jungsoon,Engberts,Senior Staff,d005,Development
13605,Dmitry,Encarnacion,Senior Staff,d007,Sales
13621,Fei,Haddadi,Engineer,d005,Development
13624,Zhigen,Yurek,Senior Staff,d003,Human Resources
13629,Dzung,Trelles,Senior Engineer,d005,Development
13648,Zejun,Lamba,Technique Leader,d004,Production
13653,Kristen,Iivonen,Senior Staff,d003,Human Resources
13670,Moti,Takanami,Senior Engineer,d005,Development
13680,Denny,Speer,Staff,d007,Sales
13685,Weicheng,Hockney,Senior Engineer,d005,Development
13697,Shuichi,Weedon,Technique Leader,d005,Development
13704,Vishu,Kumaresan,Senior Engineer,d004,Production
13721,Sugwoo,Delgrossi,Senior Staff,d007,Sales
13727,Vitali,Merey,Staff,d003,Human Resources
13738,Bangqing,Mitchem,Engineer,d005,Development
13766,Tremaine,Heemskerk,Senior Staff,d009,Customer Service
13769,Yakichi,Trogemann,Senior Staff,d007,Sales
13775,Arve,Maierhofer,Senior Staff,d007,Sales
13786,Takushi,Berendt,Senior Staff,d007,Sales
13787,Xiaobin,Sinicrope,Senior Engineer,d004,Production
13792,Valery,Sury,Senior Staff,d002,Finance
13796,Paloma,Thorelli,Engineer,d005,Development
13809,Kiyotoshi,Basagni,Senior Staff,d009,Customer Service
13815,Guadalupe,Plotkin,Senior Engineer,d004,Production
13825,Arlette,Pell,Technique Leader,d004,Production
13841,Christophe,Spinelli,Technique Leader,d006,Quality Management
13842,Juichirou,Cichocki,Senior Staff,d008,Research
13846,Guiseppe,Welham,Senior Staff,d008,Research
13853,Mingsen,Roohalamini,Senior Staff,d008,Research
13859,Anoosh,Fujisawa,Senior Engineer,d005,Development
13884,Kensei,Swift,Engineer,d004,Production
13894,Ult,Schonegge,Engineer,d004,Production
13904,Youngkon,Cairo,Senior Engineer,d005,Development
13934,Shiv,Bratsberg,Senior Engineer,d005,Development
13942,Elzbieta,Esteva,Technique Leader,d005,Development
13951,Mooi,Genther,Senior Staff,d007,Sales
13960,Nechama,Hettesheimer,Senior Staff,d002,Finance
13962,Maris,Ghelli,Senior Engineer,d004,Production
13966,Boguslaw,Cooman,Senior Staff,d009,Customer Service
13969,Jianwen,Chandrasekhar,Technique Leader,d005,Development
13990,Deborah,Schapiro,Engineer,d005,Development
13992,Ulises,Kenevan,Senior Staff,d002,Finance
13999,Florian,Crouzet,Senior Staff,d003,Human Resources
14005,Vojin,Stellhorn,Technique Leader,d005,Development
14015,Manibrata,Picaronny,Senior Engineer,d006,Quality Management
14034,Aloys,Seghrouchni,Senior Staff,d002,Finance
14041,Shan,DeMori,Senior Staff,d001,Marketing
14067,Godehard,Trachtenberg,Senior Engineer,d004,Production
14088,Mori,Leslie,Senior Staff,d008,Research
14107,Xiahua,Rindone,Senior Staff,d001,Marketing
14111,Leszek,Cummings,Senior Staff,d009,Customer Service
14118,Kasturi,Anido,Senior Staff,d009,Customer Service
14167,Adas,Hertweck,Senior Engineer,d004,Production
14191,Jiann,Luby,Senior Engineer,d005,Development
14209,Masanao,Kusakabe,Senior Staff,d008,Research
14220,Tomofumi,Pargas,Senior Engineer,d004,Production
14232,Masali,Bojadziev,Senior Engineer,d005,Development
14236,Xuedong,Angiulli,Senior Staff,d008,Research
14237,Abdulla,Gerlach,Senior Engineer,d009,Customer Service
14242,Sudhanshu,Benaini,Senior Staff,d009,Customer Service
14257,Kwok,Massonet,Staff,d004,Production
14290,Miyeon,Olivero,Senior Engineer,d004,Production
14292,Susanna,Vigier,Senior Staff,d008,Research
14298,Chriss,Granlund,Senior Engineer,d004,Production
14310,Marlo,Leuchs,Senior Staff,d007,Sales
14320,Sreenivas,Schaar,Senior Engineer,d004,Production
14322,Shem,Kakkad,Engineer,d005,Development
14323,Golgen,Leslie,Staff,d004,Production
14340,Vitaly,Wixon,Senior Engineer,d004,Production
14344,Otilia,Buescher,Technique Leader,d004,Production
14354,Mong,Bojadziev,Senior Staff,d007,Sales
14360,Janche,Erbe,Senior Staff,d008,Research
14372,Saniya,Srimani,Engineer,d008,Research
14384,Tomofumi,Holburn,Technique Leader,d005,Development
14422,Toshimo,Gadepally,Senior Engineer,d004,Production
14434,Elvis,Maginnis,Technique Leader,d005,Development
14439,Raimond,Woycyznski,Senior Engineer,d006,Quality Management
14460,Yagil,Lueh,Senior Engineer,d004,Production
14478,Munehiro,Boissier,Senior Staff,d007,Sales
14481,Moti,Lammel,Senior Engineer,d004,Production
14483,Supot,Marrevee,Senior Engineer,d005,Development
14486,Indrajit,Birdsall,Senior Engineer,d004,Production
14498,Xiong,Selenyi,Senior Staff,d003,Human Resources
14501,Taizo,Kroft,Technique Leader,d004,Production
14509,Danil,Aloia,Senior Staff,d002,Finance
14513,Samphel,Barreiro,Senior Staff,d001,Marketing
14515,Kazuhisa,Versino,Senior Engineer,d006,Quality Management
14516,Kristian,Underwood,Senior Staff,d007,Sales
14518,Patricia,Peir,Engineer,d004,Production
14522,Chuanyi,Ranta,Senior Staff,d002,Finance
14537,Babette,Engelmann,Senior Engineer,d006,Quality Management
14552,Ibibia,Snyers,Senior Engineer,d005,Development
14556,Fatemeh,Zultner,Engineer,d004,Production
14560,Elrique,Driscoll,Senior Engineer,d005,Development
14581,Gao,Condotta,Senior Engineer,d005,Development
14582,Kiyokazu,Morrin,Senior Engineer,d005,Development
14600,Jayson,Cairo,Senior Staff,d009,Customer Service
14603,Lech,Marquardt,Senior Engineer,d005,Development
14607,Suzette,Selvestrel,Staff,d007,Sales
14620,Jianhua,Erev,Senior Engineer,d004,Production
14621,Souichi,Wixon,Senior Staff,d007,Sales
14632,Gudjon,McClurg,Senior Engineer,d006,Quality Management
14639,Arvind,Hempstead,Senior Staff,d007,Sales
14640,Toshimori,Kornatzky,Senior Engineer,d005,Development
14642,Florian,Kuhnemann,Senior Engineer,d005,Development
14645,Laurentiu,Glinert,Senior Engineer,d005,Development
14648,IEEE,Lorys,Senior Staff,d007,Sales
14659,Sashi,Adachi,Senior Engineer,d006,Quality Management
14675,Teunis,Angel,Senior Staff,d003,Human Resources
14677,Herbert,Sifakis,Senior Engineer,d004,Production
14683,Alois,Basart,Senior Engineer,d009,Customer Service
14690,Yechezkel,Bellone,Senior Engineer,d005,Development
14693,Brewster,Stranks,Senior Staff,d009,Customer Service
14710,Mahmut,Hainaut,Senior Staff,d001,Marketing
14723,Constantino,Assaf,Senior Staff,d003,Human Resources
